날짜,지역,확진자수
2020.03.30,인천,58
2020.03.30,광주,20
2020.03.30,대전,34
2020.03.30,울산,39
2020.03.30,세종,46
2020.03.30,경기,463
2020.03.30,강원,36
2020.03.30,충북,44
2020.03.30,충남,127
2020.03.30,전북,13
2020.03.30,전남,9
2020.03.30,경북,1298
2020.03.30,경남,95
2020.03.30,제주,9
2020.03.31,서울,450
2020.03.31,부산,119
2020.03.31,대구,6684
2020.03.31,인천,64
2020.03.31,광주,20
2020.03.31,대전,36
2020.03.31,울산,39
2020.03.31,세종,46
2020.03.31,경기,476
2020.03.31,강원,36
2020.03.31,충북,44
2020.03.31,충남,128
2020.03.31,전북,13
2020.03.31,전남,9
2020.03.31,경북,1300
2020.03.31,경남,96
2020.03.31,제주,9
2020.04.01,서울,474
2020.04.01,부산,122
2020.04.01,대구,6704
2020.04.01,인천,69
2020.04.01,광주,24
2020.04.01,대전,36
2020.04.01,울산,39
2020.04.01,세종,46
2020.04.01,경기,499
2020.04.01,강원,38
2020.04.01,충북,44
2020.04.01,충남,131
2020.04.01,전북,14
2020.04.01,전남,12
2020.04.01,경북,1302
2020.04.01,경남,100
2020.04.01,제주,9
2020.04.02,서울,488
2020.04.02,부산,122
2020.04.02,대구,6725
2020.04.02,인천,73
2020.04.02,광주,25
2020.04.02,대전,36
2020.04.02,울산,40
2020.04.02,세종,46
2020.04.02,경기,516
2020.04.02,강원,39
2020.04.02,충북,44
2020.04.02,충남,133
2020.04.02,전북,14
2020.04.02,전남,14
2020.04.02,경북,1304
2020.04.02,경남,106
2020.04.02,제주,9
2020.04.03,서울,506
2020.04.03,부산,122
2020.04.03,대구,6734
2020.04.03,인천,74
2020.04.03,광주,26
2020.04.03,대전,36
2020.04.03,울산,40
2020.04.03,세종,46
2020.04.03,경기,539
2020.04.03,강원,41
2020.04.03,충북,45
2020.04.03,충남,134
2020.04.03,전북,15
2020.04.03,전남,15
2020.04.03,경북,1309
2020.04.03,경남,107
2020.04.03,제주,9
2020.04.04,서울,528
2020.04.04,부산,122
2020.04.04,대구,6761
2020.04.04,인천,77
2020.04.04,광주,26
2020.04.04,대전,36
2020.04.04,울산,40
2020.04.04,세종,46
2020.04.04,경기,562
2020.04.04,강원,42
2020.04.04,충북,45
2020.04.04,충남,135
2020.04.04,전북,15
2020.04.04,전남,15
2020.04.04,경북,1310
2020.04.04,경남,108
2020.04.04,제주,9
2020.04.05,서울,552
2020.04.05,부산,122
2020.04.05,대구,6768
2020.04.05,인천,79
2020.04.05,광주,27
2020.04.05,대전,37
2020.04.05,울산,40
2020.04.05,세종,46
2020.04.05,경기,572
2020.04.05,강원,45
2020.04.05,충북,45
2020.04.05,충남,135
2020.04.05,전북,16
2020.04.05,전남,15
2020.04.05,경북,1314
2020.04.05,경남,109
2020.04.05,제주,12
2020.04.06,서울,563
2020.04.06,부산,122
2020.04.06,대구,6781
2020.04.06,인천,80
2020.04.06,광주,27
2020.04.06,대전,39
2020.04.06,울산,40
2020.04.06,세종,46
2020.04.06,경기,580
2020.04.06,강원,45
2020.04.06,충북,45
2020.04.06,충남,136
2020.04.06,전북,16
2020.04.06,전남,15
2020.04.06,경북,1316
2020.04.06,경남,111
2020.04.06,제주,12
2020.04.07,서울,567
2020.04.07,부산,123
2020.04.07,대구,6794
2020.04.07,인천,80
2020.04.07,광주,27
2020.04.07,대전,39
2020.04.07,울산,40
2020.04.07,세종,46
2020.04.07,경기,590
2020.04.07,강원,47
2020.04.07,충북,45
2020.04.07,충남,137
2020.04.07,전북,16
2020.04.07,전남,15
2020.04.07,경북,1317
2020.04.07,경남,112
2020.04.07,제주,12
2020.04.08,서울,578
2020.04.08,부산,125
2020.04.08,대구,6803
2020.04.08,인천,84
2020.04.08,광주,27
2020.04.08,대전,39
2020.04.08,울산,40
2020.04.08,세종,46
2020.04.08,경기,596
2020.04.08,강원,49
2020.04.08,충북,45
2020.04.08,충남,137
2020.04.08,전북,17
2020.04.08,전남,15
2020.04.08,경북,1320
2020.04.08,경남,113
2020.04.08,제주,12
2020.04.09,서울,590
2020.04.09,부산,125
2020.04.09,대구,6807
2020.04.09,인천,84
2020.04.09,광주,27
2020.04.09,대전,39
2020.04.09,울산,40
2020.04.09,세종,46
2020.04.09,경기,606
2020.04.09,강원,49
2020.04.09,충북,45
2020.04.09,충남,138
2020.04.09,전북,17
2020.04.09,전남,15
2020.04.09,경북,1320
2020.04.09,경남,115
2020.04.09,제주,12
2020.04.10,서울,595
2020.04.10,부산,126
2020.04.10,대구,6807
2020.04.10,인천,85
2020.04.10,광주,27
2020.04.10,대전,39
2020.04.10,울산,40
2020.04.10,세종,46
2020.04.10,경기,615
2020.04.10,강원,49
2020.04.10,충북,45
2020.04.10,충남,138
2020.04.10,전북,17
2020.04.10,전남,15
2020.04.10,경북,1327
2020.04.10,경남,115
2020.04.10,제주,12
2020.04.11,서울,599
2020.04.11,부산,126
2020.04.11,대구,6814
2020.04.11,인천,85
2020.04.11,광주,27
2020.04.11,대전,39
2020.04.11,울산,41
2020.04.11,세종,46
2020.04.11,경기,624
2020.04.11,강원,49
2020.04.11,충북,45
2020.04.11,충남,138
2020.04.11,전북,17
2020.04.11,전남,15
2020.04.11,경북,1330
2020.04.11,경남,115
2020.04.11,제주,12
2020.04.12,서울,602
2020.04.12,부산,126
2020.04.12,대구,6816
2020.04.12,인천,86
2020.04.12,광주,27
2020.04.12,대전,39
2020.04.12,울산,41
2020.04.12,세종,46
2020.04.12,경기,628
2020.04.12,강원,49
2020.04.12,충북,45
2020.04.12,충남,139
2020.04.12,전북,17
2020.04.12,전남,15
2020.04.12,경북,1333
2020.04.12,경남,115
2020.04.12,제주,12
2020.04.13,서울,610
2020.04.13,부산,126
2020.04.13,대구,6819
2020.04.13,인천,87
2020.04.13,광주,27
2020.04.13,대전,39
2020.04.13,울산,41
2020.04.13,세종,46
2020.04.13,경기,631
2020.04.13,강원,49
2020.04.13,충북,45
2020.04.13,충남,139
2020.04.13,전북,17
2020.04.13,전남,15
2020.04.13,경북,1337
2020.04.13,경남,115
2020.04.13,제주,12
2020.04.14,서울,612
2020.04.14,부산,126
2020.04.14,대구,6822
2020.04.14,인천,88
2020.04.14,광주,27
2020.04.14,대전,39
2020.04.14,울산,42
2020.04.14,세종,46
2020.04.14,경기,639
2020.04.14,강원,49
2020.04.14,충북,45
2020.04.14,충남,139
2020.04.14,전북,17
2020.04.14,전남,15
2020.04.14,경북,1342
2020.04.14,경남,115
2020.04.14,제주,12
2020.04.15,서울,617
2020.04.15,부산,127
2020.04.15,대구,6823
2020.04.15,인천,88
2020.04.15,광주,28
2020.04.15,대전,39
2020.04.15,울산,42
2020.04.15,세종,46
2020.04.15,경기,645
2020.04.15,강원,51
2020.04.15,충북,45
2020.04.15,충남,139
2020.04.15,전북,17
2020.04.15,전남,15
2020.04.15,경북,1348
2020.04.15,경남,115
2020.04.15,제주,13
2020.04.16,서울,619
2020.04.16,부산,130
2020.04.16,대구,6827
2020.04.16,인천,88
2020.04.16,광주,28
2020.04.16,대전,39
2020.04.16,울산,42
2020.04.16,세종,46
2020.04.16,경기,649
2020.04.16,강원,52
2020.04.16,충북,45
2020.04.16,충남,139
2020.04.16,전북,17
2020.04.16,전남,15
2020.04.16,경북,1352
2020.04.16,경남,115
2020.04.16,제주,13
2020.04.17,서울,621
2020.04.17,부산,130
2020.04.17,대구,6827
2020.04.17,인천,89
2020.04.17,광주,30
2020.04.17,대전,40
2020.04.17,울산,42
2020.04.17,세종,46
2020.04.17,경기,650
2020.04.17,강원,52
2020.04.17,충북,45
2020.04.17,충남,139
2020.04.17,전북,17
2020.04.17,전남,15
2020.04.17,경북,1356
2020.04.17,경남,115
2020.04.17,제주,13
2020.04.18,서울,622
2020.04.18,부산,130
2020.04.18,대구,6830
2020.04.18,인천,90
2020.04.18,광주,30
2020.04.18,대전,39
2020.04.18,울산,42
2020.04.18,세종,46
2020.04.18,경기,654
2020.04.18,강원,53
2020.04.18,충북,45
2020.04.18,충남,141
2020.04.18,전북,17
2020.04.18,전남,15
2020.04.18,경북,1358
2020.04.18,경남,116
2020.04.18,제주,13
2020.04.19,서울,624
2020.04.19,부산,130
2020.04.19,대구,6832
2020.04.19,인천,91
2020.04.19,광주,30
2020.04.19,대전,39
2020.04.19,울산,42
2020.04.19,세종,46
2020.04.19,경기,654
2020.04.19,강원,53
2020.04.19,충북,45
2020.04.19,충남,141
2020.04.19,전북,17
2020.04.19,전남,15
2020.04.19,경북,1359
2020.04.19,경남,116
2020.04.19,제주,13
2020.04.20,서울,624
2020.04.20,부산,132
2020.04.20,대구,6833
2020.04.20,인천,92
2020.04.20,광주,30
2020.04.20,대전,39
2020.04.20,울산,43
2020.04.20,세종,46
2020.04.20,경기,656
2020.04.20,강원,53
2020.04.20,충북,45
2020.04.20,충남,141
2020.04.20,전북,17
2020.04.20,전남,15
2020.04.20,경북,1361
2020.04.20,경남,116
2020.04.20,제주,13
2020.04.21,서울,626
2020.04.21,부산,132
2020.04.21,대구,6835
2020.04.21,인천,92
2020.04.21,광주,30
2020.04.21,대전,39
2020.04.21,울산,43
2020.04.21,세종,46
2020.04.21,경기,658
2020.04.21,강원,53
2020.04.21,충북,45
2020.04.21,충남,141
2020.04.21,전북,17
2020.04.21,전남,15
2020.04.21,경북,1361
2020.04.21,경남,116
2020.04.21,제주,13
2020.04.22,서울,628
2020.04.22,부산,134
2020.04.22,대구,6836
